Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
Bayern,"Estadio Santiago Bernabéu, Madrid",2,20,8,5,7,1,6,0,56%,597,87%,519,117.2 km,45,2,12,1,0,0,10
Bayern,"Football Arena Munich, Munich",1,13,5,4,4,0,10,0,59%,631,87%,546,111.6 km,47,4,4,1,2,0,8
Real Madrid,"Football Arena Munich, Munich",2,7,4,4,1,0,10,6,41%,416,84%,351,107.5 km,47,2,17,4,1,0,14
Liverpool,"Anfield, Liverpool",5,20,11,5,4,1,7,5,50%,433,80%,348,114.8 km,61,7,21,3,3,0,13
Roma,"Anfield, Liverpool",2,14,6,5,3,1,7,3,50%,472,81%,380,111.6 km,49,6,22,4,2,0,7
Bayern,"Football Arena Munich, Munich",0,17,6,9,2,0,9,5,51%,462,86%,398,113.4 km,54,5,11,2,1,0,13
Sevilla,"Football Arena Munich, Munich",0,8,0,9,2,1,9,1,49%,497,84%,417,114.0 km,37,1,22,2,3,1,12
Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,19,6,8,5,1,7,4,58%,639,92%,589,111.9 km,42,3,17,3,3,0,8
Juventus,"Estadio Santiago Bernabéu, Madrid",3,12,6,8,3,0,7,2,42%,384,86%,329,120.3 km,38,6,22,5,6,1,20
Roma,"Stadio Olimpico, Rome",3,16,7,8,1,0,6,0,45%,379,73%,277,107.7 km,44,1,16,2,2,0,19
Barcelona,"Stadio Olimpico, Rome",0,9,3,8,2,0,6,4,55%,496,78%,386,102.5 km,53,4,21,1,3,0,10
Man. City,"City of Manchester Stadium, Manchester",1,20,3,5,12,1,9,8,64%,678,84%,572,110.6 km,45,4,8,0,2,0,5
Liverpool,"City of Manchester Stadium, Manchester",2,5,3,5,0,0,9,0,36%,304,73%,221,114.9 km,54,6,28,12,4,0,7
Liverpool,"Anfield, Liverpool",3,9,5,2,2,0,0,3,38%,390,75%,292,120.8 km,59,4,33,5,1,0,6
Man. City,"Anfield, Liverpool",0,11,0,2,5,0,0,4,62%,752,87%,652,115.5 km,54,4,23,2,4,0,10
Barcelona,"Camp Nou, Barcelona",4,19,9,6,4,1,10,3,56%,650,89%,580,108.0 km,58,1,12,7,0,0,8
Roma,"Camp Nou, Barcelona",1,13,3,6,7,0,10,0,44%,455,82%,371,113.0 km,52,7,10,4,2,0,8
Juventus,"Juventus Stadium, Turin",0,12,2,6,4,0,5,1,48%,519,89%,462,109.5 km,37,6,8,0,3,1,14
Real Madrid,"Juventus Stadium, Turin",3,14,6,6,0,2,5,0,52%,663,91%,603,108.7 km,39,5,14,4,2,0,16
Sevilla,"Estadio Ramón Sánchez-Pizjuán, Seville",1,8,4,3,1,0,3,1,42%,423,83%,350,116.0 km,39,2,14,3,2,0,12
Bayern,"Estadio Ramón Sánchez-Pizjuán, Seville",2,13,4,3,3,0,3,3,58%,578,88%,508,111.6 km,38,5,11,1,3,0,9
Barcelona,"Camp Nou, Barcelona",3,8,7,1,0,0,4,1,53%,597,89%,533,106.2 km,43,7,17,4,1,0,11
Chelsea,"Camp Nou, Barcelona",0,14,3,1,4,2,4,6,47%,471,83%,389,110.0 km,49,6,3,0,3,0,17
Beşiktaş,"Beşiktaş Park, Istanbul",1,17,4,7,6,0,4,3,51%,479,83%,399,100.5 km,53,3,9,0,2,0,18
Bayern,"Beşiktaş Park, Istanbul",3,13,6,7,0,0,4,1,49%,466,83%,388,105.2 km,63,3,15,6,3,0,13
Man. United,"Old Trafford, Manchester",1,17,4,8,5,0,5,1,51%,519,79%,412,106.3 km,54,1,6,5,1,0,9
Sevilla,"Old Trafford, Manchester",2,21,6,8,5,0,5,1,49%,492,83%,408,110.3 km,68,2,24,5,4,0,10
Roma,"Stadio Olimpico, Rome",1,10,3,4,3,0,2,5,40%,343,80%,276,112.2 km,41,11,18,2,2,0,14
Shakhtar Donetsk,"Stadio Olimpico, Rome",0,4,0,4,2,0,2,2,60%,589,87%,510,109.4 km,38,1,21,3,3,1,11
Man. City,"City of Manchester Stadium, Manchester",1,7,3,0,4,0,5,3,72%,1096,93%,1014,115.8 km,48,2,7,1,1,0,5
Basel,"City of Manchester Stadium, Manchester",2,7,3,0,1,0,5,5,28%,322,79%,255,119.3 km,50,1,20,4,1,0,12
Tottenham,"Wembley Stadium, London",1,23,6,9,8,1,6,1,52%,526,85%,449,118.5 km,57,4,6,1,3,0,20
Juventus,"Wembley Stadium, London",2,8,3,9,1,0,6,3,48%,464,83%,387,118.0 km,57,9,28,8,4,0,12
Liverpool,"Anfield, Liverpool",0,12,5,5,2,1,1,5,62%,819,87%,716,115.1 km,54,5,4,2,1,0,11
Porto,"Anfield, Liverpool",0,9,1,5,2,0,1,1,38%,423,79%,336,117.9 km,56,4,24,3,2,0,13
Paris,"Parc des Princes, Paris",1,8,2,3,3,0,7,5,50%,582,90%,522,108.0 km,42,3,7,6,3,1,10
Real Madrid,"Parc des Princes, Paris",2,21,6,3,6,3,7,5,50%,600,89%,534,112.2 km,63,8,14,3,2,0,12
Shakhtar Donetsk,"OSK Metalist Stadion, Kharkiv",2,14,7,3,4,0,8,2,52%,517,87%,450,112.6 km,38,2,14,2,2,0,11
Roma,"OSK Metalist Stadion, Kharkiv",1,14,8,3,2,0,8,3,48%,497,87%,430,115.1 km,33,1,13,4,1,0,9
Sevilla,"Estadio Ramón Sánchez-Pizjuán, Seville",0,25,8,9,8,0,12,2,54%,533,87%,466,107.1 km,45,4,19,1,1,0,12
Man. United,"Estadio Ramón Sánchez-Pizjuán, Seville",0,6,1,9,1,0,12,1,46%,401,83%,334,102.1 km,51,2,18,8,1,0,22
Bayern,"Football Arena Munich, Munich",5,34,13,13,8,1,6,3,65%,564,88%,494,104.1 km,41,4,6,1,1,0,16
Beşiktaş,"Football Arena Munich, Munich",0,6,1,13,1,0,6,1,35%,255,73%,186,94.8 km,43,2,17,9,3,1,14
Chelsea,"Stamford Bridge, London",1,10,2,6,2,2,3,1,32%,329,79%,259,114.7 km,56,5,20,2,2,0,17
Barcelona,"Stamford Bridge, London",1,7,2,6,2,0,3,0,68%,894,92%,825,106.3 km,49,3,10,2,3,0,13
Real Madrid,"Estadio Santiago Bernabéu, Madrid",3,17,8,4,5,0,11,8,49%,503,90%,451,103.9 km,42,2,15,5,2,0,14
Paris,"Estadio Santiago Bernabéu, Madrid",1,14,4,4,5,0,11,1,51%,495,88%,435,105.7 km,39,4,15,5,4,0,16
Porto,"Estádio do Dragão, Porto",0,7,2,3,2,0,6,3,47%,496,83%,410,111.9 km,43,4,16,2,0,0,9
Liverpool,"Estádio do Dragão, Porto",5,14,6,3,2,1,6,0,53%,604,84%,506,112.9 km,52,3,18,2,0,0,10
Basel,"St. Jakob-Park, Basel",0,11,3,6,2,0,3,4,31%,323,77%,248,115.3 km,63,7,15,2,2,0,9
Man. City,"St. Jakob-Park, Basel",4,12,7,6,2,0,3,3,69%,892,91%,809,110.0 km,58,3,7,2,2,0,5
Juventus,"Juventus Stadium, Turin",2,10,5,3,2,1,5,5,37%,289,76%,220,109.3 km,46,4,31,1,3,0,16
Tottenham,"Juventus Stadium, Turin",2,10,6,3,1,0,5,0,63%,638,88%,559,109.0 km,37,8,11,2,2,0,13
Tottenham,"Estadio Metropolitano, Madrid",0,16,8,5,3,0,8,3,61%,528,81%,428,103.4 km,30,1,17,6,0,0,5
Liverpool,"Estadio Metropolitano, Madrid",2,14,3,5,6,0,8,2,39%,280,68%,189,105.1 km,37,1,23,3,0,0,6
Ajax,"Johan Cruijff ArenA, Amsterdam",2,16,4,5,7,1,6,2,43%,390,79%,309,117.9 km,60,4,24,7,3,0,13
Tottenham,"Johan Cruijff ArenA, Amsterdam",3,24,7,5,7,2,6,1,57%,566,84%,478,114.9 km,53,0,12,7,2,0,12
Liverpool,"Anfield, Liverpool",4,13,7,3,3,0,7,1,45%,468,76%,358,112.1 km,51,4,15,1,2,0,12
Barcelona,"Anfield, Liverpool",0,8,5,3,1,0,7,2,55%,622,82%,512,105.4 km,48,1,24,3,3,0,9
Barcelona,"Camp Nou, Barcelona",3,11,5,4,2,1,3,2,48%,545,84%,457,109.7 km,50,7,24,5,3,0,11
Liverpool,"Camp Nou, Barcelona",0,14,3,4,5,1,3,1,52%,593,81%,482,111.1 km,49,4,7,2,1,0,15
Tottenham,"Tottenham Hotspur Stadium, London",0,12,1,7,4,0,3,0,49%,476,74%,352,113.7 km,58,1,22,5,0,0,14
Ajax,"Tottenham Hotspur Stadium, London",1,10,2,7,5,1,3,5,51%,468,78%,364,115.3 km,60,2,18,4,2,0,14
Porto,"Estádio do Dragão, Porto",1,20,8,8,4,0,6,2,52%,473,78%,371,108.9 km,58,1,11,1,1,0,16
Liverpool,"Estádio do Dragão, Porto",4,11,5,8,1,0,6,2,48%,449,78%,348,112.3 km,51,2,17,4,1,0,13
Man. City,"City of Manchester Stadium, Manchester",4,20,8,8,4,0,4,3,63%,593,90%,536,111.1 km,44,6,12,2,0,0,8
Tottenham,"City of Manchester Stadium, Manchester",3,11,6,8,2,0,4,2,37%,322,81%,260,113.4 km,44,4,22,4,4,0,13
Juventus,"Juventus Stadium, Turin",1,11,2,4,5,0,4,1,51%,426,78%,333,108.4 km,44,5,10,3,2,0,14
Ajax,"Juventus Stadium, Turin",2,13,4,4,3,0,4,3,49%,410,80%,326,110.7 km,50,4,23,5,0,0,12
Barcelona,"Camp Nou, Barcelona",3,13,6,4,3,0,8,0,63%,809,92%,747,103.7 km,37,3,8,3,1,0,10
Man. United,"Camp Nou, Barcelona",0,9,3,4,3,1,8,3,37%,415,88%,366,106.5 km,39,4,19,3,0,0,15
Man. United,"Old Trafford, Manchester",0,10,0,7,3,0,2,2,38%,411,81%,334,106.3 km,41,3,7,0,3,0,16
Barcelona,"Old Trafford, Manchester",1,5,3,7,0,0,2,0,62%,807,92%,740,104.0 km,30,1,24,3,2,0,11
Ajax,"Johan Cruijff ArenA, Amsterdam",1,18,6,9,3,0,4,4,58%,611,86%,525,112.1 km,52,4,11,1,4,0,15
Juventus,"Johan Cruijff ArenA, Amsterdam",1,7,1,9,1,1,4,0,42%,392,79%,311,112.0 km,45,3,16,3,1,0,10
Tottenham,"Tottenham Hotspur Stadium, London",1,13,4,5,4,0,3,2,41%,386,80%,310,111.9 km,49,4,21,4,1,0,9
Man. City,"Tottenham Hotspur Stadium, London",0,10,2,5,4,0,3,6,59%,569,88%,500,107.6 km,43,1,20,4,2,0,11
Liverpool,"Anfield, Liverpool",2,14,3,4,7,0,4,4,59%,669,84%,565,107.5 km,52,2,17,1,0,0,9
Porto,"Anfield, Liverpool",0,9,3,4,1,0,4,2,41%,368,71%,263,109.3 km,56,2,22,7,2,0,7
Barcelona,"Camp Nou, Barcelona",5,20,9,6,5,0,6,4,53%,606,88%,535,103.4 km,46,7,9,3,1,0,11
Lyon,"Camp Nou, Barcelona",1,10,2,6,3,0,6,2,47%,497,86%,429,105.5 km,47,1,6,5,2,0,18
Bayern,"Football Arena Munich, Munich",1,6,1,2,3,0,2,5,59%,599,86%,515,113.0 km,57,4,19,1,2,0,7
Liverpool,"Football Arena Munich, Munich",3,9,6,2,1,0,2,2,41%,424,79%,333,115.4 km,47,4,17,3,3,0,14
Juventus,"Juventus Stadium, Turin",3,15,4,7,4,0,5,0,61%,577,84%,484,109.5 km,59,3,9,1,1,0,12
Atlético,"Juventus Stadium, Turin",0,4,0,7,1,0,5,2,39%,340,75%,254,109.9 km,52,8,22,4,3,0,17
Man. City,"City of Manchester Stadium, Manchester",7,15,11,2,2,1,3,2,66%,794,93%,736,103.6 km,42,1,7,0,2,0,10
Schalke,"City of Manchester Stadium, Manchester",0,1,0,2,0,0,3,1,34%,309,76%,234,99.3 km,43,4,8,2,1,0,7
Paris,"Parc des Princes, Paris",1,11,4,5,2,1,4,4,68%,759,92%,695,108.5 km,42,8,7,1,3,0,9
Man. United,"Parc des Princes, Paris",3,5,4,5,1,0,4,2,32%,282,80%,226,112.3 km,34,2,17,2,1,0,15
Porto,"Estádio do Dragão, Porto",3,28,9,14,5,0,10,1,59%,570,85%,485,143.0 km,56,1,31,8,4,0,19
Roma,"Estádio do Dragão, Porto",1,15,1,14,8,0,10,2,41%,387,78%,300,141.8 km,55,1,33,5,5,0,20
Dortmund,"BVB Stadion Dortmund, Dortmund",0,20,6,5,9,0,10,4,62%,788,90%,708,112.9 km,51,2,7,1,0,0,4
Tottenham,"BVB Stadion Dortmund, Dortmund",1,5,1,5,1,0,10,2,38%,429,83%,358,116.4 km,47,7,23,9,0,0,3
Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,20,7,10,3,2,6,1,56%,539,80%,430,105.3 km,42,5,11,2,3,1,12
Ajax,"Estadio Santiago Bernabéu, Madrid",4,16,8,10,2,0,6,7,44%,405,78%,317,115.3 km,45,6,29,3,1,0,11
Atlético,"Estadio Metropolitano, Madrid",2,13,5,4,4,1,8,1,38%,323,74%,240,108.4 km,33,9,16,3,3,0,12
Juventus,"Estadio Metropolitano, Madrid",0,15,3,4,3,0,8,0,62%,546,90%,491,105.2 km,34,1,20,4,1,0,16
Schalke,"Arena AufSchalke, Gelsenkirchen",2,7,2,1,4,0,2,2,40%,307,81%,250,107.3 km,42,8,20,8,3,0,11
Man. City,"Arena AufSchalke, Gelsenkirchen",3,20,6,1,9,0,2,0,60%,635,89%,567,106.2 km,37,1,12,4,4,1,9
Lyon,"OL Stadium, Décines",0,5,2,2,1,1,2,0,41%,423,82%,345,107.2 km,35,2,28,8,2,0,13
Barcelona,"OL Stadium, Décines",0,24,5,2,8,0,2,1,59%,700,89%,622,102.0 km,42,2,12,1,2,0,11
Liverpool,"Anfield, Liverpool",0,16,2,11,3,0,5,1,47%,503,80%,403,110.9 km,44,3,9,2,1,0,10
Bayern,"Anfield, Liverpool",0,9,1,11,2,0,5,2,53%,530,85%,448,111.8 km,46,3,26,3,1,0,13
Tottenham,"Wembley Stadium, London",3,16,6,5,5,0,6,3,55%,619,89%,552,113.3 km,51,7,9,0,1,0,13
Dortmund,"Wembley Stadium, London",0,7,6,5,0,0,6,1,45%,545,88%,477,114.6 km,43,1,9,5,1,0,5
Ajax,"Johan Cruijff ArenA, Amsterdam",1,19,7,10,2,1,3,5,50%,547,84%,461,111.4 km,63,3,5,2,1,0,10
Real Madrid,"Johan Cruijff ArenA, Amsterdam",2,13,8,10,2,0,3,0,50%,550,85%,467,106.2 km,52,5,20,2,3,0,11
Roma,"Stadio Olimpico, Rome",2,13,9,4,0,2,1,1,42%,346,76%,264,113.2 km,39,0,8,3,1,0,11
Porto,"Stadio Olimpico, Rome",1,7,2,4,3,0,1,0,58%,487,84%,407,112.0 km,50,2,14,0,1,0,13
Man. United,"Old Trafford, Manchester",0,10,1,5,4,0,3,2,45%,449,84%,379,100.8 km,43,0,8,3,6,1,17
Paris,"Old Trafford, Manchester",2,12,5,5,3,0,3,1,55%,570,87%,498,102.7 km,44,6,23,4,4,0,7
