Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
Monaco,"Arsenal Stadium, London",3,Not Provided,7,9,0,Not Provided,8,5,46%,352,Not Provided,313,111.7 km,49,5,24,1,2,0,10
Juventus,"Juventus Stadium, Turin",2,Not Provided,4,7,0,Not Provided,8,4,48%,388,Not Provided,328,113.4 km,43,1,17,3,2,0,8
Dortmund,"Juventus Stadium, Turin",1,Not Provided,3,7,3,Not Provided,8,2,52%,469,Not Provided,390,111.7 km,47,5,13,0,0,0,10
Man. City,"City of Manchester Stadium, Manchester",1,Not Provided,5,4,4,Not Provided,8,0,37%,343,Not Provided,297,113.0 km,44,5,6,6,3,1,13
Barcelona,"City of Manchester Stadium, Manchester",2,Not Provided,4,4,6,Not Provided,8,7,63%,634,Not Provided,585,114.6 km,54,3,12,4,3,0,13
Schalke,"Arena AufSchalke, Gelsenkirchen",0,Not Provided,3,3,2,Not Provided,2,1,39%,363,Not Provided,300,116.2 km,53,5,19,1,3,0,15
Real Madrid,"Arena AufSchalke, Gelsenkirchen",2,Not Provided,4,3,1,Not Provided,2,3,61%,614,Not Provided,541,111.6 km,50,2,12,2,1,0,9
Basel,"St. Jakob-Park, Basel",1,Not Provided,1,0,0,Not Provided,0,5,39%,299,Not Provided,255,123.7 km,54,2,18,4,5,0,21
Porto,"St. Jakob-Park, Basel",1,Not Provided,7,0,4,Not Provided,0,4,61%,563,Not Provided,506,123.4 km,58,3,5,0,4,0,13
Shakhtar Donetsk,"Arena Lviv, Lviv",0,Not Provided,1,0,0,Not Provided,0,4,41%,356,Not Provided,295,109.7 km,47,4,28,3,3,0,15
Bayern,"Arena Lviv, Lviv",0,Not Provided,1,0,3,Not Provided,0,2,59%,633,Not Provided,577,107.9 km,40,2,12,0,5,1,20
Paris,"Parc des Princes, Paris",1,Not Provided,6,5,3,Not Provided,7,1,54%,524,Not Provided,483,103.6 km,31,5,11,1,2,0,20
Chelsea,"Parc des Princes, Paris",1,Not Provided,1,5,1,Not Provided,7,0,46%,435,Not Provided,391,104.9 km,29,2,17,3,2,0,20
Real Madrid,"Stadio San Siro, Milan",1,Not Provided,8,6,11,Not Provided,7,0,46%,557,Not Provided,497,132.4 km,74,0,20,3,6,0,18
Atlético,"Stadio San Siro, Milan",1,Not Provided,4,6,3,Not Provided,7,2,54%,627,Not Provided,543,144.9 km,61,3,17,11,2,0,16
Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,Not Provided,5,5,5,Not Provided,5,5,53%,553,Not Provided,498,104.5 km,52,0,15,0,1,0,5
