Player,Team,Goals,Shots,Shots_Target,Assists,Fouls,Interceptions,Crosses,Time
Terrier,Lyon,0,0.71187449991703,0.25853356719017,0,0.474271431565285,0.429923534393311,0,35.1303511857986
Traoré,Lyon,0,0,0.120563089847565,0,0.539544224739075,0.559922017157078,0.694667780771852,33.9834231138229
Mendes,Lyon,0,0,0.17508938908577,0,0.502847112715244,0,0,31.5913243591785
Tete,Lyon,0,0,0.171783432364464,0,0.473285458981991,0,0,28.1476766616106
Caqueret,Lyon,0,0,0,0,0,0,0,19.2688563466072
"Ederson

 (GK)",Man. City,0,0,0,0,0,0,0,75.5131262540817
Walker,Man. City,0,0.552679851651192,0,0,0.881163775920868,1.53361576795578,0,74.2148706316948
Gündoğan,Man. City,0,0.799560450017452,0.255498111248016,0,0.941986784338951,1.28790789842606,1.46933384239674,68.9231497049332
Jesus,Man. City,1,1.14888268709183,0.401915788650513,0,0.948134183883667,1.10082556307316,1.2307214550674,71.9077989459038
Laporte,Man. City,1,1.50835551321507,0.503633260726929,0,0.980251908302307,0.90944617241621,1.8475204706192,72.1743100881577
Rodri,Man. City,0,1.25024849176407,0.498138666152954,0,0.941518232226372,0.805454418063164,1.47410277277231,70.5617123842239
De Bruyne,Man. City,0,1.0187084376812,0.406106054782867,0,0.870788767933846,0.922011643648148,1.76434069871902,70.2876406908035
Bernardo Silva,Man. City,0,1.04627874493599,0.336821794509888,0,0.971918523311615,0.982443824410438,1.77578330039978,71.409378349781
B. Mendy,Man. City,0,0.853971898555756,0.29943436384201,0,1.00655101239681,1.24839377403259,1.39810582622886,73.4932526946068
Mahrez,Man. City,0,0.75987397134304,0.239676922559738,0,0.877495050430298,1.25114382058382,1.29937520250678,72.3581829667091
Otamendi,Man. City,0,0.663791060447693,0.256738692522049,0,0.798835352063179,1.3304035961628,1.06503209099174,68.8040864467621
"Bravo

 (GK)",Man. City,0,0,0,0,0,0,0,13.2119175046682
Sterling,Man. City,0,0.227684903889894,0,0,0.59419933706522,0.89374914765358,0,40.0588503479958
Agüero,Man. City,0,0.502721264958382,0.209401980042458,0,0.614863246679306,0.579683791846037,0,35.8248046040535
David Silva,Man. City,0,0.655742436647415,0,0,0.528264343738556,0.461603693664074,0,32.8479798138142
Fernandinho,Man. City,0,0,0,0,0.417797863483429,0.287478867918253,0,26.8510095775127
João Cancelo,Man. City,0,0,0.105538412928581,0,0.503676101565361,0.472351618111134,0,30.718546807766
Foden,Man. City,0,0,0.061865232884884,0,0.395031310617924,0.291569024324417,0,22.7645693719387
"Courtois

 (GK)",Real Madrid,0,0,0,0,0,0,0,78.4453862905502
Carvajal,Real Madrid,0,0.400353528559208,0,0,0.96148082613945,1.39019832015038,0.824443716555834,73.266264796257
Ramos,Real Madrid,0,0.90662956237793,0.306251019239426,0,0.840850509703159,1.40591378509998,1.08007825911045,71.2282335758209
Varane,Real Madrid,0,1.25081676244736,0.387003690004349,0,1.02851486206055,1.24388551712036,1.52132324874401,72.7598449587822
Benzema,Real Madrid,1,1.62802270054817,0.528954446315765,0.104660578072071,0.963012173771858,0.822662964463234,1.49749722331762,74.7655296325684
