Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played,Home_Game
Josep Guardiola,Bayern(COACH),0,0,0,0,0,0,0,0,0,1
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0.782608695652174,0
Piqué,Barcelona,0,0,0,0,0.181818181818182,0,0.142857142857143,0,0.782608695652174,0
Rakitić,Barcelona,0,0.071428571428572,0.25,0,0.090909090909091,0,0.142857142857143,0,0.626086956521739,0
Sergio Busquets,Barcelona,0,0,0,0,0.636363636363636,0,0.142857142857143,0,0.782608695652174,0
Iniesta,Barcelona,0,0,0,0,0,0,0,0,0.652173913043478,0
Luis Suárez,Barcelona,0,0,0,0.666666666666667,0,0,0,0.142857142857143,0.4,0
Messi,Barcelona,0,0.142857142857143,0.25,0,0,0.04,0,0.142857142857143,0.782608695652174,0
Neymar,Barcelona,0.5,0.142857142857143,0.5,0,0.090909090909091,0.04,0.142857142857143,0.142857142857143,0.782608695652174,0
Mascherano,Barcelona,0,0,0,0,0.181818181818182,0,0.285714285714286,0,0.782608695652174,0
Jordi Alba,Barcelona,0,0,0,0,0.363636363636364,0,0,0,0.782608695652174,0
Dani Alves,Barcelona,0,0,0,0,0.272727272727273,0.04,0.428571428571429,0,0.782608695652174,0
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0,0
Xavi Hernández,Barcelona,0,0,0,0,0,0,0,0,0.130434782608696,0
Pedro Rodríguez,Barcelona,0,0,0,0,0.090909090909091,0,0.428571428571429,0,0.382608695652174,0
Rafinha,Bayern,0,0,0,0,0,0,0,0,0,0
Bartra,Barcelona,0,0,0,0,0,0,0,0,0,0
Adriano,Barcelona,0,0,0,0,0,0,0,0,0,0
Mathieu,Barcelona,0,0,0,0,0.090909090909091,0,0,0,0.156521739130435,0
Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0,0
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0.782608695652174,1
Piqué,Barcelona,0,0,0,0,0,0,0,0,0.782608695652174,1
Rakitić,Barcelona,0,0.071428571428572,0,0.333333333333333,0,0,0,0,0.71304347826087,1
Sergio Busquets,Barcelona,0,0,0,0,0,0,0,0,0.782608695652174,1
Iniesta,Barcelona,0,0,0,0,0,0,0,0,0.756521739130435,1
Luis Suárez,Barcelona,0,0.428571428571429,0.5,0,0,0,0,0,0.782608695652174,1
Messi,Barcelona,0.5,0.285714285714286,1,0.333333333333333,0,0,0,0,0.782608695652174,1
Neymar,Barcelona,0.25,0.214285714285714,0.25,0,0,0,0,0,0.782608695652174,1
Mascherano,Barcelona,0,0,0,0,0,0,0,0,0.773913043478261,1
Jordi Alba,Barcelona,0,0,0,0,0,0,0,0,0.782608695652174,1
Dani Alves,Barcelona,0,0.071428571428572,0.25,0.333333333333333,0,0,0,0,0.782608695652174,1
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0,1
Xavi Hernández,Barcelona,0,0,0,0,0,0,0,0,0.069565217391304,1
Pedro Rodríguez,Barcelona,0,0,0,0,0,0,0,0,0,1
Rafinha,Barcelona,0,0,0,0,0,0,0,0,0.026086956521739,1
Bartra,Barcelona,0,0,0,0,0,0,0,0,0.008695652173913,1
Adriano,Barcelona,0,0,0,0,0,0,0,0,0,1
Vermaelen,Barcelona,0,0,0,0,0,0,0,0,0,1
Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0,1
"Neuer
 (GK)",Bayern,0,0,0,0,0,0,0,0,0.782608695652174,0
Xabi Alonso,Bayern,0,0.071428571428572,0,0,0,0,0,0,0.782608695652174,0
Benatia,Bayern,0,0,0,0,0,0,0,0,0.782608695652174,0
Thiago Alcántara,Bayern,0,0.142857142857143,0,0,0,0,0,0,0.782608695652174,0
Lewandowski,Bayern,0,0.214285714285714,0,0,0,0,0,0,0.782608695652174,0
Rafinha,Barcelona,0,0,0,0,0,0,0,0,0.782608695652174,0
Boateng,Bayern,0,0,0,0,0,0,0,0,0.782608695652174,0
Bernat,Bayern,0,0,0,0,0,0,0,0,0.782608695652174,0
Lahm,Bayern,0,0,0,0,0,0,0,0,0.782608695652174,0
Müller,Bayern,0,0,0,0,0,0,0,0,0.68695652173913,0
Schweinsteiger,Bayern,0,0.142857142857143,0,0,0,0,0,0,0.782608695652174,0
"Reina
 (GK)",Bayern,0,0,0,0,0,0,0,0,0,0
Dante,Bayern,0,0,0,0,0,0,0,0,0,0
Javi Martínez,Bayern,0,0,0,0,0,0,0,0,0,0
Pizarro,Bayern,0,0,0,0,0,0,0,0,0,0
Gaudino,Bayern,0,0,0,0,0,0,0,0,0,0
Götze,Bayern,0,0,0,0,0,0,0,0,0.095652173913044,0
Weiser,Bayern,0,0,0,0,0,0,0,0,0,0
Josep Guardiola,Bayern(COACH),0,0,0,0,0,0,0,0,0,0
"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,0.782608695652174,1
Chiellini,Juventus,0,0,0,0,0.272727272727273,0,0.285714285714286,0,0.782608695652174,1
Marchisio,Juventus,0,0.071428571428572,0,0,0,0,0.428571428571429,0,0.782608695652174,1
Morata,Juventus,0.25,0.142857142857143,0.5,0,0.090909090909091,0,0.142857142857143,0,0.678260869565217,1
Tévez,Juventus,0.25,0.357142857142857,0.75,0.333333333333333,0,0,0.142857142857143,0.142857142857143,0.747826086956522,1
Bonucci,Juventus,0,0,0,0,0.363636363636364,0,0.428571428571429,0,0.782608695652174,1
Pirlo,Juventus,0,0,0,0,0.090909090909091,0.08,0.142857142857143,0,0.782608695652174,1
Vidal,Juventus,0,0,0,0,0.272727272727273,0,0.428571428571429,0.142857142857143,0.782608695652174,1
Lichtsteiner,Juventus,0,0.071428571428572,0,0,0.090909090909091,0.12,0.428571428571429,0,0.782608695652174,1
Sturaro,Juventus,0,0.142857142857143,0.25,0,0,0,0.285714285714286,0.142857142857143,0.556521739130435,1
Evra,Juventus,0,0,0,0,0.090909090909091,0.08,0.142857142857143,0,0.782608695652174,1
"Storari
 (GK)",Juventus,0,0,0,0,0,0,0,0,0,1
Pepe,Juventus,0,0,0,0,0,0,0,0,0,1
Llorente,Juventus,0,0.071428571428572,0.25,0,0,0,0,0,0.104347826086957,1
Barzagli,Juventus,0,0,0,0,0,0,0,0,0.226086956521739,1
Padoin,Juventus,0,0,0,0,0,0,0,0,0,1
Matri,Juventus,0,0,0,0,0,0,0,0,0,1
Pereyra,Juventus,0,0,0,0,0,0,0.142857142857143,0,0.034782608695652,1
Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0,1
"Casillas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0.782608695652174,0
Varane,Real Madrid,0,0.071428571428572,0,0,0.181818181818182,0.04,0,0,0.782608695652174,0
Pepe,Juventus,0,0,0,0,0,0,0,0,0.782608695652174,0
Ramos,Real Madrid,0,0,0,0,0.272727272727273,0.04,0.571428571428571,0,0.782608695652174,0
Ronaldo,Real Madrid,0.25,0.214285714285714,0.25,0,0,0.04,0.142857142857143,0,0.782608695652174,0
Kroos,Real Madrid,0,0.214285714285714,0.25,0,0.090909090909091,0.24,0.142857142857143,0,0.782608695652174,0
James Rodríguez,Real Madrid,0,0.071428571428572,0.25,0.333333333333333,0,0.24,0.142857142857143,0,0.782608695652174,0
Bale,Real Madrid,0,0.071428571428572,0,0,0.090909090909091,0.12,0,0,0.747826086956522,0
Marcelo,Real Madrid,0,0.142857142857143,0,0,0,0.2,0.142857142857143,0,0.782608695652174,0
Carvajal,Real Madrid,0,0,0,0,0.181818181818182,0.08,0.428571428571429,0,0.782608695652174,0
Isco,Real Madrid,0,0.071428571428572,0.25,0,0,0.12,0.285714285714286,0,0.547826086956522,0
"Navas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0,0
Fábio Coentrão,Real Madrid,0,0,0,0,0,0,0,0,0,0
Hernández,Real Madrid,0,0.071428571428572,0,0,0,0.04,0,0.142857142857143,0.234782608695652,0
Lucas Silva,Real Madrid,0,0,0,0,0,0,0,0,0,0
Arbeloa,Real Madrid,0,0,0,0,0,0,0,0,0,0
Jesé,Real Madrid,0,0,0,0,0,0,0,0,0.034782608695652,0
Illarramendi,Real Madrid,0,0,0,0,0,0,0,0,0,0
Carlo Ancelotti,Real Madrid(COACH),0,0,0,0,0,0,0,0,0,0
"Casillas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0.782608695652174,1
Varane,Real Madrid,0,0.142857142857143,0.25,0,0.090909090909091,0,0.285714285714286,0,0.782608695652174,1
Pepe,Real Madrid,0,0.071428571428572,0,0,0.181818181818182,0.04,0,0,0.782608695652174,1
Ramos,Real Madrid,0,0.071428571428572,0.25,0,0.090909090909091,0.08,0.571428571428571,0,0.782608695652174,1
Fábio Coentrão,Real Madrid,0,0,0,0,0.090909090909091,0.08,0.285714285714286,0,0.782608695652174,1
Ronaldo,Real Madrid,0,0.428571428571429,0.75,0.333333333333333,0.090909090909091,0.16,0.285714285714286,0,0.782608695652174,1
Kroos,Real Madrid,0,0.142857142857143,0,0,0,0.12,0,0,0.782608695652174,1
James Rodríguez,Real Madrid,0,0.142857142857143,0.25,0,0,0.32,0.142857142857143,0,0.782608695652174,1
Hernández,Real Madrid,0.25,0.5,0.5,0,0,0.04,0.142857142857143,0,0.782608695652174,1
Carvajal,Real Madrid,0,0,0,0,0.363636363636364,0.08,0.142857142857143,0,0.782608695652174,1
Isco,Real Madrid,0,0.142857142857143,0,0,0.181818181818182,0.12,0,0,0.782608695652174,1
"Navas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0,1
Khedira,Real Madrid,0,0,0,0,0,0,0,0,0,1
Lucas Silva,Real Madrid,0,0,0,0,0,0,0,0,0,1
Arbeloa,Real Madrid,0,0,0,0,0,0,0.142857142857143,0,0.017391304347826,1
