,Unnamed: 0,Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","Arena AufSchalke, Gelsenkirchen","Arena Lviv, Lviv","Arsenal Stadium, London","BVB Stadion Dortmund, Dortmund","BayArena, Leverkusen","Beşiktaş Park, Istanbul","Camp Nou, Barcelona","City of Manchester Stadium, Manchester","Estadio Metropolitano, Madrid","Estadio Ramón Sánchez-Pizjuán, Seville","Estadio Santiago Bernabéu, Madrid","Estadio Vicente Calderón, Madrid","Estádio do Dragão, Porto","Estádio do Sport Lisboa e Benfica, Lisbon","Football Arena Munich, Munich","Johan Cruijff ArenA, Amsterdam","Juventus Stadium, Turin","KAA Gent Stadium, Ghent","King Power Stadium, Leicester","NSK Olimpiyskyi, Kyiv","OL Stadium, Décines","OSK Metalist Stadion, Kharkiv","Old Trafford, Manchester","Olympiastadion, Berlin","PSV Stadion, Eindhoven","Parc des Princes, Paris","Principality Stadium, Cardiff","St. Jakob-Park, Basel","Stade Louis II, Monaco","Stadio Olimpico, Rome","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stadion Petrovskiy, St Petersburg","Stamford Bridge, London","Tottenham Hotspur Stadium, London","VfL Wolfsburg Arena, Wolfsburg","Wembley Stadium, London",Home_game
130,130,Leicester,0.142857142857143,0.540540540540541,0.307692307692308,0.533333333333333,0.75,0,0.538461538461538,0.111111111111111,0.522727272727273,0.34341252699784,0.504815376119918,0.302690582959641,0.251956181533647,0.508196721311475,0.181818181818182,0.282051282051282,0,0,0,0.260869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,131,Atlético,0.142857142857143,0.27027027027027,0.230769230769231,0.533333333333333,0,0,0.538461538461538,0.222222222222222,0.477272727272727,0.248380129589633,0.30498590295296,0.20067264573991,0.334898278560251,0.80327868852459,0.545454545454545,1,0.75,0,0,0.173913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,132,Real Madrid,0.571428571428571,0.675675675675676,0.923076923076923,0.6,0.416666666666667,0,0.538461538461538,0.333333333333333,0.431818181818182,0.505399568034557,0.686827389904177,0.47085201793722,0.640062597809077,0.475409836065574,0.363636363636364,0.487179487179487,0.666666666666667,0.125,0,0.173913043478261,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,133,Bayern,0.285714285714286,0.486486486486487,0.153846153846154,0.6,0.666666666666667,0,0.538461538461538,0.222222222222222,0.568181818181818,0.563714902807775,0.733035295368945,0.531390134529148,0.624413145539906,0.39344262295082,0.818181818181818,0.358974358974359,0.416666666666667,0.625,1,0.826086956521739,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,Bayern,0.142857142857143,0.27027027027027,0.230769230769231,0.333333333333333,0.25,0,0.615384615384615,0.333333333333333,0.477272727272727,0.394168466522678,0.837630864004061,0.395739910313901,0.217527386541471,0.40983606557377,1,0.282051282051282,0.333333333333333,0.5,1,0.347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,135,Real Madrid,0.285714285714286,0.540540540540541,0.923076923076923,0.333333333333333,0.333333333333333,0.333333333333333,0.615384615384615,0.333333333333333,0.522727272727273,0.452483801295896,0.938225432327498,0.466367713004484,0.222222222222222,0.39344262295082,0.636363636363636,0.333333333333333,0.25,0.25,0,0.173913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,Atlético,0.142857142857143,0.378378378378378,0.307692307692308,0.533333333333333,0.25,0.333333333333333,0.615384615384615,0.111111111111111,0.818181818181818,0.512958963282937,0.717658751384683,0.483183856502242,0.236306729264476,0.40983606557377,0.272727272727273,0.282051282051282,0.25,0,0,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,137,Leicester,0,0.27027027027027,0,0.533333333333333,0.25,0,0.615384615384615,0.111111111111111,0.181818181818182,0.128509719222462,0.244084041095291,0.102017937219731,0.128325508607199,0.540983606557377,0.272727272727273,0.871794871794872,0.25,0.375,0,0.565217391304348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,Dortmund,0.285714285714286,0.378378378378378,0.307692307692308,0.466666666666667,0.333333333333333,0,0.538461538461538,0.222222222222222,0.818181818181818,0.509719222462203,0.641478740710024,0.466367713004484,0.220657276995305,0.213114754098361,0.090909090909091,0.153846153846154,0.083333333333333,0.25,0,0.260869565217391,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,139,Monaco,0.428571428571429,0.243243243243243,0.153846153846154,0.466666666666667,0.083333333333333,0,0.538461538461538,0.222222222222222,0.181818181818182,0.115550755939525,0.04297577065018,0.076233183856502,0.203442879499218,0.39344262295082,0.636363636363636,0.743589743589744,0.333333333333333,0.625,0,0.260869565217391,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
