Players,Embeddings
"('Yakovenko', 'Dynamo Kyiv')","[0.31111111 0.07142857 0.25       0.         0.         0.11764706
 0.         0.14285714 0.        ]"
"('Sydorchuk', 'Dynamo Kyiv')","[0.28888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Korzun', 'Dynamo Kyiv')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('González', 'Dynamo Kyiv')","[0.74444444 0.07142857 0.         0.         0.         0.11764706
 0.         0.28571429 0.        ]"
"('Makarenko', 'Dynamo Kyiv')","[0.13333333 0.         0.         0.         0.         0.05882353
 0.         0.         0.        ]"
"('Serhiy Rebrov', 'Dynamo Kyiv(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Mikel', 'Chelsea')","[1.         0.03571429 0.125      0.5        0.         0.
 0.05       0.35714286 0.        ]"
"('Kenedy', 'Chelsea')","[0.5        0.         0.         0.         0.         0.02941176
 0.2        0.         0.        ]"
"('Pedro Rodríguez', 'Chelsea')","[0.75277778 0.         0.         0.         0.         0.
 0.05       0.         0.        ]"
"('Begović\n (GK)', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Baba', 'Chelsea')","[0.5        0.         0.         0.         0.         0.08823529
 0.3        0.14285714 0.        ]"
"('Traoré', 'Chelsea')","[0.16666667 0.03571429 0.125      0.         0.         0.
 0.05       0.         0.        ]"
"('Loftus-Cheek', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Guus Hiddink', 'Chelsea(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Lodygin\n (GK)', 'Zenit')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Anyukov', 'Zenit')","[0.82222222 0.         0.         0.         0.         0.05882353
 0.4        0.14285714 0.        ]"
"('Lombaerts', 'Zenit')","[1.         0.03571429 0.         0.         0.         0.
 0.3        0.         0.07142857]"
"('Hulk', 'Zenit')","[1.         0.21428571 0.125      0.5        0.         0.58823529
 0.         0.07142857 0.28571429]"
"('Maurício', 'Zenit')","[0.47222222 0.03571429 0.         0.         0.         0.
 0.1        0.21428571 0.        ]"
"('Kokorin', 'Zenit')","[0.41111111 0.         0.         0.         0.         0.02941176
 0.1        0.21428571 0.        ]"
"('Danny', 'Zenit')","[0.98333333 0.         0.         0.         0.         0.08823529
 0.05       0.14285714 0.14285714]"
"('Luís Neto', 'Zenit')",[0.5 0.  0.  0.  0.  0.  0.1 0.  0. ]
"('Dzyuba', 'Zenit')","[0.91111111 0.17857143 0.25       0.         0.         0.
 0.1        0.14285714 0.28571429]"
"('Witsel', 'Zenit')","[1.         0.10714286 0.25       0.         0.         0.
 0.2        0.21428571 0.        ]"
"('Zhirkov', 'Zenit')","[0.55       0.03571429 0.         0.         0.16666667 0.17647059
 0.05       0.         0.        ]"
"('M. Kerzhakov\n (GK)', 'Zenit')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Yusupov', 'Zenit')","[0.04444444 0.         0.         0.         0.         0.
 0.05       0.         0.        ]"
"('Shatov', 'Zenit')","[0.62777778 0.         0.         0.         0.         0.02941176
 0.         0.14285714 0.07142857]"
"('Smolnikov', 'Zenit')","[0.35555556 0.07142857 0.25       0.         0.         0.05882353
 0.2        0.14285714 0.        ]"
"('Garay', 'Zenit')",[0.5  0.   0.   0.   0.   0.   0.05 0.   0.  ]
"('Ivanov', 'Zenit')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Dolgov', 'Zenit')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('André Villas-Boas', 'Zenit(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Sílvio', 'Benfica')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Rúben Dias', 'Benfica')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Szczęsny\n (GK)', 'Roma')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Digne', 'Roma')","[1.         0.         0.         0.         0.         0.17647059
 0.25       0.28571429 0.        ]"
"('Perotti', 'Roma')","[0.89365079 0.1122449  0.10714286 0.14285714 0.04761905 0.29411765
 0.12857143 0.08163265 0.04081633]"
"('Džeko', 'Roma')","[0.99888889 0.26428571 0.275      0.5        0.1        0.04117647
 0.         0.15714286 0.1       ]"
"('Salah', 'Roma')","[1.         0.17857143 0.25       0.         0.         0.11764706
 0.1        0.21428571 0.07142857]"
"('Pjanić', 'Roma')","[0.75555556 0.03571429 0.         0.         0.         0.14705882
 0.2        0.07142857 0.        ]"
"('Keita', 'Roma')","[0.97777778 0.         0.         0.         0.         0.
 0.         0.14285714 0.        ]"
"('El Shaarawy', 'Roma')","[0.41358025 0.03968254 0.05555556 0.         0.03703704 0.02614379
 0.02222222 0.04761905 0.        ]"
"('Florenzi', 'Roma')","[0.89444444 0.04285714 0.05       0.         0.         0.22352941
 0.23       0.14285714 0.        ]"
"('Manolas', 'Roma')","[1.         0.05       0.075      0.1        0.         0.
 0.11       0.01428571 0.        ]"
"('Zukanovic', 'Roma')","[1.         0.07142857 0.25       0.         0.         0.
 0.1        0.28571429 0.        ]"
"('Leandro Castán', 'Roma')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Totti', 'Roma')","[1.         0.03571429 0.         0.         0.         0.08823529
 0.         0.         0.        ]"
"('Maicon', 'Roma')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Falqué', 'Roma')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Vainqueur', 'Roma')","[0.92777778 0.03571429 0.         0.         0.         0.
 0.2        0.21428571 0.        ]"
"('De Sanctis\n (GK)', 'Roma')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Torosidis', 'Roma')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Luciano Spalletti', 'Roma(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Grün\n (GK)', 'Wolfsburg')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Putaro', 'Wolfsburg')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Sels\n (GK)', 'Gent')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Rafinha', 'Gent')","[0.43333333 0.         0.         0.         0.         0.
 0.1        0.14285714 0.        ]"
"('Matton', 'Gent')","[0.54444444 0.         0.         0.         0.         0.
 0.05       0.07142857 0.        ]"
"('Renato Neto', 'Gent')","[1.         0.         0.         0.         0.         0.
 0.25       0.28571429 0.        ]"
"('Kums', 'Gent')","[1.         0.10714286 0.125      0.5        0.         0.08823529
 0.05       0.35714286 0.        ]"
"('Dejaegere', 'Gent')","[1.         0.14285714 0.125      0.         0.16666667 0.08823529
 0.         0.57142857 0.        ]"
"('Asare', 'Gent')","[1.         0.03571429 0.125      0.         0.         0.02941176
 0.25       0.14285714 0.        ]"
"('L. Nielsen', 'Gent')","[1.         0.         0.         0.         0.         0.
 0.2        0.14285714 0.        ]"
"('Simon', 'Gent')","[0.72222222 0.07142857 0.125      0.         0.         0.14705882
 0.1        0.         0.14285714]"
"('Gershon', 'Gent')",[0.5  0.   0.   0.   0.   0.   0.15 0.   0.  ]
"('Milicevic', 'Gent')","[0.83888889 0.07142857 0.         0.         0.         0.32352941
 0.1        0.         0.        ]"
"('Thoelen\n (GK)', 'Gent')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('K. Coulibaly', 'Gent')","[0.16666667 0.10714286 0.375      0.5        0.         0.
 0.         0.         0.07142857]"
"('Depoitre', 'Gent')","[0.44444444 0.03571429 0.         0.         0.         0.
 0.         0.07142857 0.07142857]"
"('Saief', 'Gent')","[0.28333333 0.03571429 0.         0.         0.16666667 0.11764706
 0.1        0.14285714 0.        ]"
"('Deaux', 'Gent')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Wikheim', 'Gent')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Foket', 'Gent')","[0.56666667 0.07142857 0.125      0.         0.         0.08823529
 0.1        0.07142857 0.        ]"
"('Hein Vanhaezebrouck', 'Gent(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Pereiro', 'PSV')","[1.         0.         0.         0.         0.         0.
 0.1        0.28571429 0.        ]"
"('Óliver Torres', 'Atlético')","[1.         0.         0.         0.         0.         0.
 0.         0.28571429 0.        ]"
"('Rybalka', 'Dynamo Kyiv')","[1.         0.         0.         0.         0.         0.
 0.5        0.28571429 0.        ]"
"('Petrović', 'Dynamo Kyiv')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Júnior Moraes', 'Dynamo Kyiv')","[0.48888889 0.         0.         0.         0.         0.
 0.1        0.         0.        ]"
"('Dybala', 'Juventus')","[0.76269841 0.05102041 0.05357143 0.28571429 0.         0.04201681
 0.01428571 0.07142857 0.        ]"
"('Čech\n (GK)', 'Arsenal')","[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Rüdiger', 'Roma')","[1.         0.         0.         0.         0.         0.05882353
 0.1        0.14285714 0.        ]"
"('Nainggolan', 'Roma')","[0.96296296 0.1547619  0.20833333 0.16666667 0.05555556 0.12745098
 0.03333333 0.16666667 0.04761905]"
"('De Rossi', 'Roma')","[0.92962963 0.02380952 0.02777778 0.22222222 0.03703704 0.
 0.12222222 0.07936508 0.        ]"
"('S. Mitrović', 'Gent')",[1.  0.  0.  0.  0.  0.  0.3 0.  0. ]
"('Vandenbussche\n (GK)', 'Gent')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Jung', 'Wolfsburg')","[1.         0.         0.         0.         0.         0.17647059
 0.         0.14285714 0.        ]"
"('Klinger\n (GK)', 'Wolfsburg')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Azzaoui', 'Wolfsburg')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Miazga', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Júlio César\n (GK)', 'Benfica')","[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Criscito', 'Zenit')","[1.         0.07142857 0.         0.         0.         0.23529412
 0.1        0.42857143 0.        ]"
"('Javi García', 'Zenit')","[1.         0.         0.         0.         0.         0.
 0.2        0.42857143 0.14285714]"
"('Pjanić', 'Juventus')","[0.89761905 0.07653061 0.05357143 0.         0.07142857 0.22689076
 0.15       0.19387755 0.01020408]"
"('Higuaín', 'Juventus')","[0.97777778 0.22727273 0.38636364 0.27272727 0.06060606 0.03743316
 0.04545455 0.15584416 0.11688312]"
"('Dani Alves', 'Juventus')","[0.88412698 0.04081633 0.07142857 0.28571429 0.0952381  0.18487395
 0.15714286 0.40816327 0.02040816]"
"('Benatia', 'Juventus')","[0.37777778 0.01587302 0.         0.         0.         0.
 0.12222222 0.14285714 0.        ]"
"('Lemina', 'Juventus')","[0.1        0.01785714 0.         0.         0.         0.
 0.025      0.03571429 0.        ]"
"('Asensio', 'Real Madrid')","[0.36349206 0.08673469 0.125      0.35714286 0.04761905 0.10084034
 0.03571429 0.04081633 0.04081633]"
"('Morata', 'Real Madrid')","[0.03968254 0.02040816 0.03571429 0.14285714 0.         0.
 0.         0.02040816 0.02040816]"
"('Gameiro', 'Atlético')","[0.45       0.07142857 0.125      0.25       0.08333333 0.
 0.05       0.10714286 0.03571429]"
"('Gaitán', 'Atlético')","[0.10740741 0.         0.         0.         0.         0.01960784
 0.01666667 0.02380952 0.        ]"
"('Rincón', 'Juventus')","[0.06666667 0.         0.         0.         0.         0.
 0.02       0.11428571 0.        ]"
"('Jemerson', 'Monaco')","[1.         0.02857143 0.         0.         0.         0.
 0.16       0.11428571 0.        ]"
"('Falcao', 'Monaco')","[0.93777778 0.24285714 0.3        0.4        0.         0.01176471
 0.08       0.22857143 0.05714286]"
"('Bakayoko', 'Monaco')","[0.91555556 0.04285714 0.05       0.2        0.         0.02352941
 0.22       0.2        0.        ]"
"('Sidibé', 'Monaco')","[1.         0.05357143 0.         0.         0.         0.17647059
 0.1        0.32142857 0.03571429]"
"('B. Mendy', 'Monaco')","[0.9        0.05357143 0.125      0.         0.08333333 0.32352941
 0.175      0.25       0.        ]"
"('Glik', 'Monaco')","[1.         0.04285714 0.         0.         0.         0.01176471
 0.24       0.14285714 0.02857143]"
"('Mbappé', 'Monaco')","[0.9462963  0.20238095 0.45833333 0.83333333 0.         0.06862745
 0.05       0.02380952 0.16666667]"
"('Jorge', 'Monaco')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Carrillo', 'Monaco')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('De Sanctis\n (GK)', 'Monaco')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Lemar', 'Monaco')","[0.82962963 0.04761905 0.04166667 0.         0.22222222 0.31372549
 0.11666667 0.0952381  0.        ]"
"('Cardona', 'Monaco')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Alberto Rodríguez', 'Atlético')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(""N'Doram"", 'Monaco')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Bürki\n (GK)', 'Dortmund')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Guerreiro', 'Dortmund')","[0.57037037 0.01190476 0.         0.         0.         0.21568627
 0.03333333 0.07142857 0.04761905]"
"('Weigl', 'Dortmund')","[1.         0.04285714 0.05       0.         0.         0.03529412
 0.08       0.08571429 0.        ]"
"('Durm', 'Dortmund')","[0.76666667 0.02380952 0.         0.         0.11111111 0.05882353
 0.1        0.0952381  0.14285714]"
"('Dembélé', 'Dortmund')","[0.9        0.17857143 0.125      0.25       0.08333333 0.35294118
 0.025      0.14285714 0.14285714]"
"('Pulišić', 'Dortmund')","[0.50925926 0.10714286 0.20833333 0.16666667 0.05555556 0.09803922
 0.05       0.07142857 0.        ]"
"('Merino', 'Dortmund')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Castro', 'Dortmund')","[0.36296296 0.02380952 0.         0.         0.         0.07843137
 0.03333333 0.04761905 0.        ]"
"('Thomas Tuchel', 'Dortmund(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Umtiti', 'Barcelona')","[0.57142857 0.00510204 0.         0.         0.         0.00420168
 0.12142857 0.1122449  0.        ]"
"('Cillessen\n (GK)', 'Barcelona')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Denis Suárez', 'Barcelona')","[0.00925926 0.         0.         0.         0.         0.00980392
 0.         0.04761905 0.        ]"
"('Alcácer', 'Barcelona')","[0.05873016 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Digne', 'Barcelona')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('André Gomes', 'Barcelona')","[0.2125     0.00892857 0.03125    0.         0.         0.00735294
 0.0375     0.08928571 0.        ]"
"('Aleñá', 'Barcelona')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Schmeichel\n (GK)', 'Leicester')","[1.         0.         0.         0.         0.         0.
 0.         0.03571429 0.        ]"
"('Drinkwater', 'Leicester')","[1.         0.10714286 0.0625     0.         0.08333333 0.01470588
 0.25       0.03571429 0.        ]"
"('Morgan', 'Leicester')","[0.97777778 0.02380952 0.08333333 0.33333333 0.         0.
 0.03333333 0.0952381  0.        ]"
"('Vardy', 'Leicester')","[0.96388889 0.125      0.1875     0.5        0.         0.05882353
 0.025      0.14285714 0.10714286]"
"('Albrighton', 'Leicester')","[0.99444444 0.05357143 0.0625     0.25       0.         0.23529412
 0.05       0.07142857 0.        ]"
"('Simpson', 'Leicester')","[1.         0.01785714 0.         0.         0.         0.01470588
 0.2        0.03571429 0.        ]"
"('Okazaki', 'Leicester')","[0.43333333 0.07142857 0.0625     0.         0.         0.01470588
 0.05       0.14285714 0.        ]"
"('Ndidi', 'Leicester')","[1.         0.03571429 0.0625     0.         0.         0.
 0.275      0.17857143 0.        ]"
"('Mahrez', 'Leicester')","[1.         0.05357143 0.0625     0.         0.08333333 0.14705882
 0.025      0.21428571 0.        ]"
"('Fuchs', 'Leicester')","[1.         0.07142857 0.         0.         0.         0.05882353
 0.1        0.10714286 0.        ]"
"('Benalouane', 'Leicester')","[0.5037037  0.         0.         0.         0.         0.
 0.13333333 0.14285714 0.        ]"
"('Zieler\n (GK)', 'Leicester')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Chilwell', 'Leicester')","[0.12222222 0.05357143 0.         0.         0.         0.02941176
 0.         0.         0.        ]"
"('Musa', 'Leicester')","[0.32222222 0.03571429 0.         0.         0.         0.02941176
 0.         0.         0.        ]"
"('King', 'Leicester')","[0.12222222 0.         0.         0.         0.         0.01470588
 0.         0.         0.        ]"
"('Amartey', 'Leicester')","[0.02222222 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Gray', 'Leicester')","[0.08888889 0.01785714 0.         0.         0.         0.
 0.         0.         0.        ]"
"('Ulloa', 'Leicester')","[0.16296296 0.         0.         0.         0.         0.
 0.         0.04761905 0.        ]"
"('Craig Shakespeare', 'Leicester(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Hummels', 'Bayern')","[0.95555556 0.1038961  0.06818182 0.         0.         0.00534759
 0.13636364 0.12987013 0.01298701]"
"('Carlo Ancelotti', 'Bayern(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Renato Sanches', 'Bayern')","[0.05333333 0.01428571 0.         0.         0.         0.
 0.02       0.05714286 0.        ]"
"('André Moreira\n (GK)', 'Atlético')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Cerci', 'Atlético')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Huth', 'Leicester')","[1.         0.02380952 0.         0.         0.         0.
 0.16666667 0.19047619 0.        ]"
"('Slimani', 'Leicester')","[0.21666667 0.         0.         0.         0.         0.
 0.         0.14285714 0.07142857]"
"('Emre Mor', 'Dortmund')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Passlack', 'Dortmund')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Vrsaljko', 'Atlético')","[1.         0.         0.         0.         0.16666667 0.20588235
 0.25       0.21428571 0.        ]"
"('Juan Moreno', 'Atlético')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Dragović', 'Leverkusen')","[1.         0.         0.         0.         0.         0.
 0.1        0.14285714 0.07142857]"
"('Baumgartlinger', 'Leverkusen')","[0.5        0.03571429 0.         0.         0.         0.
 0.15       0.07142857 0.        ]"
"('Jedvaj', 'Leverkusen')","[0.5        0.03571429 0.         0.         0.         0.
 0.1        0.07142857 0.        ]"
"('Volland', 'Leverkusen')","[0.67777778 0.14285714 0.125      0.         0.         0.11764706
 0.         0.21428571 0.        ]"
"('Kampl', 'Leverkusen')","[1.         0.25       0.25       0.         0.         0.08823529
 0.15       0.14285714 0.        ]"
"('Özcan\n (GK)', 'Leverkusen')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Bailey', 'Leverkusen')","[0.08333333 0.10714286 0.125      0.         0.         0.
 0.         0.         0.        ]"
"('Mehmedi', 'Leverkusen')",[0.05 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Pohjanpalo', 'Leverkusen')","[0.13333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Aránguiz', 'Leverkusen')","[0.51111111 0.         0.         0.         0.         0.02941176
 0.1        0.14285714 0.        ]"
"('Da Costa', 'Leverkusen')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Yurchenko', 'Leverkusen')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Tayfun Korkut', 'Leverkusen(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Sané', 'Man. City')","[0.74444444 0.08571429 0.075      0.3        0.13333333 0.18235294
 0.06       0.08571429 0.18571429]"
"('Stones', 'Man. City')","[0.375      0.00892857 0.03125    0.125      0.         0.
 0.0125     0.         0.        ]"
"('Bravo\n (GK)', 'Man. City')","[0.16666667 0.         0.         0.         0.         0.
 0.01666667 0.         0.        ]"
"('Josep Guardiola', 'Man. City(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Pjaca', 'Juventus')","[0.37222222 0.07142857 0.125      0.5        0.         0.05882353
 0.         0.14285714 0.        ]"
"('Casillas\n (GK)', 'Porto')",[0.875  0.     0.     0.     0.     0.     0.0125 0.     0.    ]
"('Maxi Pereira', 'Porto')","[0.49861111 0.01785714 0.         0.         0.         0.02941176
 0.075      0.10714286 0.        ]"
"('André Silva', 'Porto')","[0.42222222 0.         0.         0.         0.         0.
 0.         0.07142857 0.        ]"
"('André André', 'Porto')","[0.56296296 0.04761905 0.         0.         0.         0.01960784
 0.1        0.28571429 0.        ]"
"('Layún', 'Porto')","[0.83333333 0.03571429 0.         0.         0.         0.17647059
 0.05       0.21428571 0.        ]"
"('Felipe', 'Porto')","[1.         0.04081633 0.         0.         0.         0.00840336
 0.27142857 0.12244898 0.02040816]"
"('Soares', 'Porto')","[0.83809524 0.15306122 0.10714286 0.14285714 0.04761905 0.02521008
 0.01428571 0.16326531 0.04081633]"
"('José Sá\n (GK)', 'Porto')",[0.25 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Boly', 'Porto')","[0.24444444 0.         0.         0.         0.         0.
 0.05       0.         0.        ]"
"('Depoitre', 'Porto')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Diogo Jota', 'Porto')","[0.22222222 0.07142857 0.125      0.         0.         0.
 0.05       0.         0.        ]"
"('Otávio', 'Porto')","[0.5968254  0.03061224 0.03571429 0.         0.         0.05042017
 0.08571429 0.20408163 0.        ]"
"('Nuno Espírito Santo', 'Porto(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Rico\n (GK)', 'Sevilla')","[0.66666667 0.         0.         0.         0.         0.
 0.01666667 0.         0.        ]"
"('Iborra', 'Sevilla')","[0.65       0.03571429 0.         0.         0.         0.02941176
 0.05       0.21428571 0.        ]"
"('Nasri', 'Sevilla')","[1.         0.07142857 0.125      0.         0.         0.23529412
 0.         0.21428571 0.        ]"
"('Ben Yedder', 'Sevilla')","[0.42777778 0.05952381 0.125      0.16666667 0.         0.
 0.         0.04761905 0.02380952]"
"('Nzonzi', 'Sevilla')","[1.         0.0952381  0.08333333 0.         0.         0.00980392
 0.16666667 0.11904762 0.        ]"
"('Sarabia', 'Sevilla')","[0.88148148 0.1547619  0.125      0.33333333 0.05555556 0.23529412
 0.1        0.04761905 0.02380952]"
"('Escudero', 'Sevilla')","[1.         0.08333333 0.04166667 0.         0.11111111 0.18627451
 0.15       0.11904762 0.        ]"
"('Vitolo', 'Sevilla')","[1.         0.14285714 0.125      0.         0.         0.20588235
 0.1        0.07142857 0.        ]"
"('Pareja', 'Sevilla')","[0.33333333 0.         0.         0.         0.         0.
 0.03333333 0.04761905 0.        ]"
"('Rami', 'Sevilla')","[1.         0.07142857 0.         0.         0.         0.05882353
 0.2        0.07142857 0.        ]"
"('Mercado', 'Sevilla')","[0.87777778 0.03571429 0.         0.         0.         0.01470588
 0.1        0.17857143 0.        ]"
"('Soria\n (GK)', 'Sevilla')","[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Mariano Ferreira', 'Sevilla')","[0.74444444 0.03571429 0.         0.         0.         0.20588235
 0.1        0.         0.        ]"
"('Kranevitter', 'Sevilla')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Correa', 'Sevilla')","[0.8        0.19047619 0.33333333 0.16666667 0.05555556 0.04901961
 0.06666667 0.16666667 0.02380952]"
"('Jovetić', 'Sevilla')","[0.74444444 0.17857143 0.125      0.         0.16666667 0.05882353
 0.05       0.         0.        ]"
"('Vázquez', 'Sevilla')","[0.6462963  0.10714286 0.04166667 0.         0.         0.04901961
 0.         0.21428571 0.        ]"
"('Lenglet', 'Sevilla')","[0.76851852 0.05952381 0.04166667 0.         0.         0.
 0.15       0.16666667 0.        ]"
"('Jorge Sampaoli', 'Sevilla(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Bartra', 'Dortmund')","[1.         0.10714286 0.         0.         0.         0.02941176
 0.15       0.28571429 0.        ]"
"('Schürrle', 'Dortmund')","[0.17777778 0.         0.         0.         0.         0.
 0.05       0.         0.        ]"
"('Cervi', 'Benfica')","[0.58333333 0.07142857 0.125      0.         0.         0.02941176
 0.1        0.07142857 0.        ]"
"('André Horta', 'Benfica')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Carrillo', 'Benfica')","[0.25555556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Živković', 'Benfica')","[0.17777778 0.         0.         0.         0.         0.05882353
 0.         0.         0.        ]"
"('Meunier', 'Paris')","[0.49777778 0.02857143 0.05       0.         0.06666667 0.05882353
 0.08       0.25714286 0.        ]"
"('Draxler', 'Paris')","[0.63148148 0.05952381 0.08333333 0.16666667 0.         0.08823529
 0.13333333 0.07142857 0.02380952]"
"('Areola\n (GK)', 'Paris')","[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Krychowiak', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ben Arfa', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Unai Emery', 'Paris(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Mustafi', 'Arsenal')","[1.         0.         0.         0.         0.         0.02941176
 0.2        0.21428571 0.        ]"
"('Xhaka', 'Arsenal')","[1.         0.03571429 0.125      0.         0.         0.02941176
 0.05       0.28571429 0.07142857]"
"('Lucas Pérez', 'Arsenal')","[1.         0.         0.         0.         0.         0.05882353
 0.         0.         0.        ]"
"('Reina\n (GK)', 'Napoli')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Hysaj', 'Napoli')","[1.         0.         0.         0.         0.         0.08823529
 0.15       0.07142857 0.        ]"
"('Allan', 'Napoli')","[0.39444444 0.         0.         0.         0.         0.
 0.         0.28571429 0.        ]"
"('Callejón', 'Napoli')","[1.         0.03571429 0.         0.         0.         0.17647059
 0.05       0.07142857 0.07142857]"
"('Mertens', 'Napoli')","[1.         0.21428571 0.25       0.5        0.         0.05882353
 0.         0.57142857 0.21428571]"
"('Hamšík', 'Napoli')","[0.87777778 0.17857143 0.125      0.         0.33333333 0.02941176
 0.         0.         0.        ]"
"('Insigne', 'Napoli')","[0.88888889 0.17857143 0.25       0.5        0.         0.11764706
 0.15       0.07142857 0.        ]"
"('Koulibaly', 'Napoli')","[1.         0.03571429 0.         0.         0.         0.
 0.15       0.35714286 0.        ]"
"('Ghoulam', 'Napoli')","[1.         0.03571429 0.         0.         0.         0.41176471
 0.05       0.14285714 0.        ]"
"('Albiol', 'Napoli')","[1.         0.         0.         0.         0.         0.
 0.15       0.14285714 0.        ]"
"('Diawara', 'Napoli')","[1.         0.         0.         0.         0.         0.
 0.15       0.14285714 0.        ]"
"('Rafael Cabral\n (GK)', 'Napoli')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Jorginho', 'Napoli')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Maggio', 'Napoli')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Maksimović', 'Napoli')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Zieliński', 'Napoli')","[0.5        0.         0.         0.         0.         0.
 0.05       0.07142857 0.        ]"
"('Rog', 'Napoli')","[0.37777778 0.14285714 0.         0.         0.         0.
 0.         0.28571429 0.        ]"
