Players,Embeddings
"('Godín', 'Atlético')","[0.99930556 0.03571429 0.0625     0.0625     0.         0.
 0.19375    0.10714286 0.00892857]"
"('Tiago', 'Atlético')","[0.32592593 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Koke', 'Atlético')","[0.92716049 0.07936508 0.06944444 0.         0.03703704 0.20915033
 0.12222222 0.15873016 0.        ]"
"('Griezmann', 'Atlético')","[0.95789474 0.15037594 0.30263158 0.26315789 0.         0.0495356
 0.09473684 0.10526316 0.03007519]"
"('Mandžukić', 'Atlético')","[0.98055556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Arda Turan', 'Atlético')","[0.92777778 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Saúl Ñíguez', 'Atlético')","[0.85493827 0.04365079 0.06944444 0.22222222 0.         0.00653595
 0.05555556 0.07142857 0.00793651]"
"('Gámez', 'Atlético')","[0.28641975 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Juanfran', 'Atlético')","[0.91319444 0.00892857 0.         0.         0.02083333 0.10661765
 0.125      0.13392857 0.        ]"
"('Miranda', 'Atlético')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Moyà\n (GK)', 'Atlético')",[0.1875 0.     0.     0.     0.     0.     0.     0.     0.    ]
"('Siqueira', 'Atlético')","[0.47407407 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Raúl García', 'Atlético')","[0.36111111 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Jiménez', 'Atlético')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Gabi', 'Atlético')","[0.90555556 0.04910714 0.046875   0.         0.02083333 0.07352941
 0.15625    0.11607143 0.        ]"
"('Torres', 'Atlético')","[0.45833333 0.08035714 0.109375   0.125      0.02083333 0.01470588
 0.00625    0.14285714 0.03571429]"
"('Giménez', 'Atlético')","[0.60416667 0.02232143 0.03125    0.0625     0.         0.
 0.20625    0.08035714 0.        ]"
"('Diego Simeone', 'Atlético(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Subašić\n (GK)', 'Monaco')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Fabinho', 'Monaco')","[1.         0.04761905 0.02777778 0.11111111 0.07407407 0.03267974
 0.08888889 0.17460317 0.        ]"
"('Kurzawa', 'Monaco')","[0.77222222 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Abdennour', 'Monaco')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('João Moutinho', 'Monaco')","[1.         0.02857143 0.         0.         0.06666667 0.08823529
 0.06       0.08571429 0.        ]"
"('Bernardo Silva', 'Monaco')","[0.70666667 0.02857143 0.05       0.         0.03333333 0.02941176
 0.05       0.08571429 0.01428571]"
"('Carrasco', 'Monaco')","[0.61388889 0.         0.         0.25       0.         0.
 0.         0.         0.        ]"
"('Kondogbia', 'Monaco')",[1.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
"('Martial', 'Monaco')","[0.85277778 0.         0.         0.         0.08333333 0.
 0.         0.         0.        ]"
"('Raggi', 'Monaco')","[0.69583333 0.00892857 0.         0.         0.         0.02205882
 0.0875     0.05357143 0.        ]"
"('Toulalan', 'Monaco')","[0.75555556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Stekelenburg\n (GK)', 'Monaco')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Dirar', 'Monaco')","[0.82592593 0.         0.         0.         0.         0.06535948
 0.         0.07936508 0.        ]"
"('Berbatov', 'Monaco')","[0.58055556 0.         0.         0.25       0.         0.
 0.         0.         0.        ]"
"('Matheus Carvalho', 'Monaco')","[0.01666667 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Wallace', 'Monaco')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
