,Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
221,Beşiktaş,"Football Arena Munich, Munich",0,15,1,13,1,0,6,1,35%,255,72.9411764705882,186,94.8 km,43,2,17,9,3,1,14
222,Chelsea,"Stamford Bridge, London",1,10,2,6,2,2,3,1,32%,329,78.7234042553192,259,114.7 km,56,5,20,2,2,0,17
223,Barcelona,"Stamford Bridge, London",1,10,2,6,2,0,3,0,68%,894,92.2818791946309,825,106.3 km,49,3,10,2,3,0,13
224,Real Madrid,"Estadio Santiago Bernabéu, Madrid",3,17,8,4,5,0,11,8,49%,503,89.662027833002,451,103.9 km,42,2,15,5,2,0,14
225,Paris,"Estadio Santiago Bernabéu, Madrid",1,13,4,4,5,0,11,1,51%,495,87.8787878787879,435,105.7 km,39,4,15,5,4,0,16
226,Porto,"Estádio do Dragão, Porto",0,7,2,3,2,0,6,3,47%,496,82.6612903225807,410,111.9 km,43,4,16,2,0,0,9
227,Liverpool,"Estádio do Dragão, Porto",5,11,6,3,2,1,6,0,53%,604,83.7748344370861,506,112.9 km,52,3,18,2,0,0,10
228,Basel,"St. Jakob-Park, Basel",0,11,3,6,2,0,3,4,31%,323,76.7801857585139,248,115.3 km,63,7,15,2,2,0,9
229,Man. City,"St. Jakob-Park, Basel",4,15,7,6,2,0,3,3,69%,892,90.695067264574,809,110.0 km,58,3,7,2,2,0,5
230,Juventus,"Juventus Stadium, Turin",2,10,5,3,2,1,5,5,37%,289,76.1245674740484,220,109.3 km,46,4,31,1,3,0,16
231,Tottenham,"Juventus Stadium, Turin",2,10,6,3,1,0,5,0,63%,638,87.6175548589342,559,109.0 km,37,8,11,2,2,0,13
232,Tottenham,"Estadio Metropolitano, Madrid",0,16,8,5,3,0,8,3,61%,528,81.0606060606061,428,103.4 km,30,1,17,6,0,0,5
233,Liverpool,"Estadio Metropolitano, Madrid",2,14,3,5,6,0,8,2,39%,280,67.5,189,105.1 km,37,1,23,3,0,0,6
234,Ajax,"Johan Cruijff ArenA, Amsterdam",2,16,4,5,7,1,6,2,43%,390,79.2307692307692,309,117.9 km,60,4,24,7,3,0,13
235,Tottenham,"Johan Cruijff ArenA, Amsterdam",3,19,7,5,7,2,6,1,57%,566,84.452296819788,478,114.9 km,53,0,12,7,2,0,12
236,Liverpool,"Anfield, Liverpool",4,13,7,3,3,0,7,1,45%,468,76.4957264957265,358,112.1 km,51,4,15,1,2,0,12
237,Barcelona,"Anfield, Liverpool",0,9,5,3,1,0,7,2,55%,622,82.3151125401929,512,105.4 km,48,1,24,3,3,0,9
238,Barcelona,"Camp Nou, Barcelona",3,11,5,4,2,1,3,2,48%,545,83.8532110091743,457,109.7 km,50,7,24,5,3,0,11
239,Liverpool,"Camp Nou, Barcelona",0,12,3,4,5,1,3,1,52%,593,81.2816188870152,482,111.1 km,49,4,7,2,1,0,15
240,Tottenham,"Tottenham Hotspur Stadium, London",0,12,1,7,4,0,3,0,49%,476,73.9495798319328,352,113.7 km,58,1,22,5,0,0,14
241,Ajax,"Tottenham Hotspur Stadium, London",1,14,2,7,5,1,3,5,51%,468,77.7777777777778,364,115.3 km,60,2,18,4,2,0,14
242,Porto,"Estádio do Dragão, Porto",1,20,8,8,4,0,6,2,52%,473,78.4355179704017,371,108.9 km,58,1,11,1,1,0,16
243,Liverpool,"Estádio do Dragão, Porto",4,14,5,8,1,0,6,2,48%,449,77.5055679287305,348,112.3 km,51,2,17,4,1,0,13
244,Man. City,"City of Manchester Stadium, Manchester",4,20,8,8,4,0,4,3,63%,593,90.3878583473862,536,111.1 km,44,6,12,2,0,0,8
245,Tottenham,"City of Manchester Stadium, Manchester",3,16,6,8,2,0,4,2,37%,322,80.7453416149068,260,113.4 km,44,4,22,4,4,0,13
246,Juventus,"Juventus Stadium, Turin",1,11,2,4,5,0,4,1,51%,426,78.169014084507,333,108.4 km,44,5,10,3,2,0,14
247,Ajax,"Juventus Stadium, Turin",2,11,4,4,3,0,4,3,49%,410,79.5121951219512,326,110.7 km,50,4,23,5,0,0,12
248,Barcelona,"Camp Nou, Barcelona",3,13,6,4,3,0,8,0,63%,809,92.336217552534,747,103.7 km,37,3,8,3,1,0,10
249,Man. United,"Camp Nou, Barcelona",0,10,3,4,3,1,8,3,37%,415,88.1927710843373,366,106.5 km,39,4,19,3,0,0,15
250,Man. United,"Old Trafford, Manchester",0,10,0,7,3,0,2,2,38%,411,81.2652068126521,334,106.3 km,41,3,7,0,3,0,16
251,Barcelona,"Old Trafford, Manchester",1,10,3,7,0,0,2,0,62%,807,91.6976456009913,740,104.0 km,30,1,24,3,2,0,11
252,Ajax,"Johan Cruijff ArenA, Amsterdam",1,18,6,9,3,0,4,4,58%,611,85.924713584288,525,112.1 km,52,4,11,1,4,0,15
253,Juventus,"Johan Cruijff ArenA, Amsterdam",1,11,1,9,1,1,4,0,42%,392,79.3367346938776,311,112.0 km,45,3,16,3,1,0,10
254,Tottenham,"Tottenham Hotspur Stadium, London",1,13,4,5,4,0,3,2,41%,386,80.3108808290155,310,111.9 km,49,4,21,4,1,0,9
255,Man. City,"Tottenham Hotspur Stadium, London",0,11,2,5,4,0,3,6,59%,569,87.8734622144112,500,107.6 km,43,1,20,4,2,0,11
256,Liverpool,"Anfield, Liverpool",2,14,3,4,7,0,4,4,59%,669,84.4544095665172,565,107.5 km,52,2,17,1,0,0,9
257,Porto,"Anfield, Liverpool",0,8,3,4,1,0,4,2,41%,368,71.4673913043478,263,109.3 km,56,2,22,7,2,0,7
258,Barcelona,"Camp Nou, Barcelona",5,20,9,6,5,0,6,4,53%,606,88.2838283828383,535,103.4 km,46,7,9,3,1,0,11
259,Lyon,"Camp Nou, Barcelona",1,11,2,6,3,0,6,2,47%,497,86.317907444668,429,105.5 km,47,1,6,5,2,0,18
260,Bayern,"Football Arena Munich, Munich",1,6,1,2,3,0,2,5,59%,599,85.9766277128548,515,113.0 km,57,4,19,1,2,0,7
261,Liverpool,"Football Arena Munich, Munich",3,9,6,2,1,0,2,2,41%,424,78.5377358490566,333,115.4 km,47,4,17,3,3,0,14
262,Juventus,"Juventus Stadium, Turin",3,15,4,7,4,0,5,0,61%,577,83.8821490467938,484,109.5 km,59,3,9,1,1,0,12
263,Atlético,"Juventus Stadium, Turin",0,8,0,7,1,0,5,2,39%,340,74.7058823529412,254,109.9 km,52,8,22,4,3,0,17
264,Man. City,"City of Manchester Stadium, Manchester",7,15,11,2,2,1,3,2,66%,794,92.6952141057935,736,103.6 km,42,1,7,0,2,0,10
265,Schalke,"City of Manchester Stadium, Manchester",0,2,0,2,0,0,3,1,34%,309,75.7281553398058,234,99.3 km,43,4,8,2,1,0,7
266,Paris,"Parc des Princes, Paris",1,11,4,5,2,1,4,4,68%,759,91.5678524374177,695,108.5 km,42,8,7,1,3,0,9
267,Man. United,"Parc des Princes, Paris",3,10,4,5,1,0,4,2,32%,282,80.1418439716312,226,112.3 km,34,2,17,2,1,0,15
268,Porto,"Estádio do Dragão, Porto",3,28,9,14,5,0,10,1,59%,570,85.0877192982456,485,143.0 km,56,1,31,8,4,0,19
269,Roma,"Estádio do Dragão, Porto",1,23,1,14,8,0,10,2,41%,387,77.5193798449613,300,141.8 km,55,1,33,5,5,0,20
270,Dortmund,"BVB Stadion Dortmund, Dortmund",0,20,6,5,9,0,10,4,62%,788,89.8477157360406,708,112.9 km,51,2,7,1,0,0,4
271,Tottenham,"BVB Stadion Dortmund, Dortmund",1,7,1,5,1,0,10,2,38%,429,83.4498834498835,358,116.4 km,47,7,23,9,0,0,3
272,Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,20,7,10,3,2,6,1,56%,539,79.7773654916512,430,105.3 km,42,5,11,2,3,1,12
273,Ajax,"Estadio Santiago Bernabéu, Madrid",4,20,8,10,2,0,6,7,44%,405,78.2716049382716,317,115.3 km,45,6,29,3,1,0,11
274,Atlético,"Estadio Metropolitano, Madrid",2,13,5,4,4,1,8,1,38%,323,74.3034055727554,240,108.4 km,33,9,16,3,3,0,12
275,Juventus,"Estadio Metropolitano, Madrid",0,10,3,4,3,0,8,0,62%,546,89.9267399267399,491,105.2 km,34,1,20,4,1,0,16
276,Schalke,"Arena AufSchalke, Gelsenkirchen",2,7,2,1,4,0,2,2,40%,307,81.4332247557003,250,107.3 km,42,8,20,8,3,0,11
277,Man. City,"Arena AufSchalke, Gelsenkirchen",3,16,6,1,9,0,2,0,60%,635,89.2913385826772,567,106.2 km,37,1,12,4,4,1,9
278,Lyon,"OL Stadium, Décines",0,5,2,2,1,1,2,0,41%,423,81.5602836879433,345,107.2 km,35,2,28,8,2,0,13
279,Barcelona,"OL Stadium, Décines",0,15,5,2,8,0,2,1,59%,700,88.8571428571429,622,102.0 km,42,2,12,1,2,0,11
280,Liverpool,"Anfield, Liverpool",0,16,2,11,3,0,5,1,47%,503,80.1192842942346,403,110.9 km,44,3,9,2,1,0,10
281,Bayern,"Anfield, Liverpool",0,14,1,11,2,0,5,2,53%,530,84.5283018867925,448,111.8 km,46,3,26,3,1,0,13
282,Tottenham,"Wembley Stadium, London",3,16,6,5,5,0,6,3,55%,619,89.1760904684976,552,113.3 km,51,7,9,0,1,0,13
283,Dortmund,"Wembley Stadium, London",0,11,6,5,0,0,6,1,45%,545,87.5229357798165,477,114.6 km,43,1,9,5,1,0,5
284,Ajax,"Johan Cruijff ArenA, Amsterdam",1,19,7,10,2,1,3,5,50%,547,84.2778793418647,461,111.4 km,63,3,5,2,1,0,10
285,Real Madrid,"Johan Cruijff ArenA, Amsterdam",2,20,8,10,2,0,3,0,50%,550,84.9090909090909,467,106.2 km,52,5,20,2,3,0,11
286,Roma,"Stadio Olimpico, Rome",2,13,9,4,0,2,1,1,42%,346,76.3005780346821,264,113.2 km,39,0,8,3,1,0,11
287,Porto,"Stadio Olimpico, Rome",1,9,2,4,3,0,1,0,58%,487,83.5728952772074,407,112.0 km,50,2,14,0,1,0,13
288,Man. United,"Old Trafford, Manchester",0,10,1,5,4,0,3,2,45%,449,84.4097995545657,379,100.8 km,43,0,8,3,6,1,17
289,Paris,"Old Trafford, Manchester",2,13,5,5,3,0,3,1,55%,570,87.3684210526316,498,102.7 km,44,6,23,4,4,0,7
